# microns, n, k
7.805199139353515836e-01 3.689964651050589239e+00 9.200000000000013722e-02
7.829514401469882534e-01 3.687826269912740429e+00 9.150000000000012290e-02
7.853981633974476129e-01 3.685782716690610528e+00 9.100000000000013634e-02
7.878602266055899639e-01 3.683821081083036297e+00 9.050000000000013589e-02
7.903377744879975797e-01 3.681934071200644532e+00 9.000000000000013545e-02
7.928309535873288016e-01 3.680117376570659626e+00 8.950000000000012113e-02
7.953399123012127037e-01 3.678368560801848819e+00 8.900000000000013456e-02
7.978648009116927620e-01 3.676686539142020038e+00 8.850000000000013411e-02
8.004057716152331858e-01 3.675071329799570741e+00 8.800000000000013367e-02
8.029629785533011210e-01 3.673523960495075791e+00 8.750000000000011935e-02
8.055365778435359392e-01 3.672046485757596734e+00 8.700000000000013278e-02
8.081267276115216003e-01 3.670642108327933251e+00 8.650000000000014622e-02
8.107335880231717473e-01 3.669315428717303984e+00 8.600000000000013189e-02
8.133573213177450745e-01 3.668072889740363607e+00 8.550000000000013145e-02
8.159980918415039586e-01 3.666923569485406098e+00 8.500000000000014488e-02
8.186560660820300095e-01 3.665880697562307944e+00 8.450000000000014444e-02
8.213314127032131928e-01 3.664964975249292767e+00 8.400000000000014400e-02
8.240243025809286248e-01 3.664213856121067536e+00 8.350000000000012967e-02
8.267349088394184697e-01 3.663725038731187489e+00 8.300000000000014311e-02
8.294634068883933731e-01 3.663353906279867012e+00 8.197500000000029763e-02
8.322099744608716376e-01 3.662971698130792042e+00 8.095000000000027174e-02
8.349747916517715751e-01 3.662742536612513256e+00 7.992500000000024585e-02
8.377580409572774611e-01 3.662942857317109446e+00 7.890000000000027547e-02
8.405599073149939704e-01 3.663205134203914248e+00 7.640000000000103653e-02
8.433805781449101868e-01 3.662462819761762578e+00 7.280000000000096116e-02
8.462202433911893973e-01 3.661043329117468659e+00 7.070000000000051243e-02
8.490790955648082061e-01 3.659544950950780695e+00 6.860000000000054943e-02
8.519573297870617345e-01 3.658186674962557561e+00 6.750000000000030975e-02
8.548551438339565545e-01 3.657372606276405591e+00 6.640000000000029212e-02
8.577727381815127838e-01 3.656698962182629131e+00 6.460000000000043485e-02
8.607103160519973262e-01 3.655785655789364874e+00 6.280000000000048044e-02
8.636680834611106805e-01 3.655135075323951099e+00 6.200000000000022854e-02
8.666462492661490824e-01 3.655342316595751484e+00 6.120000000000021256e-02
8.696450252151669558e-01 3.655842681025109009e+00 5.900000000000053813e-02
8.726646259971639896e-01 3.656095723838788558e+00 5.680000000000058613e-02
8.757052692933212645e-01 3.656760544542906111e+00 5.570000000000029095e-02
8.787671758293119639e-01 3.660435545210907193e+00 5.719999999999959839e-02
8.818505694287130936e-01 3.669883646210798211e+00 5.540000000000040031e-02
8.849556770675465200e-01 3.672112891751008412e+00 2.710000000000753820e-02
8.880827289299759730e-01 3.664195473531989489e+00 1.652500000000305114e-02
8.912319584651887672e-01 3.654706887484882927e+00 5.950000000002818486e-03
8.944036024454919964e-01 3.644864220989658676e+00 3.820000000000520028e-03
8.975979010256543988e-01 3.636882354732234646e+00 1.690000000000567567e-03
9.008150978035240897e-01 3.629856404781241164e+00 1.129000000000161992e-03
9.040554398819540260e-01 3.623778845842996255e+00 5.680000000001495485e-04
9.073191779320695094e-01 3.618316241037482062e+00 4.090000000000388897e-04
9.106065662579102549e-01 3.613382924789652062e+00 2.500000000000423975e-04
9.139178628624843315e-01 3.608834236760286363e+00 1.915000000000156052e-04
9.172533295152672794e-01 3.604608271999825142e+00 1.330000000000129906e-04
9.206132318211840415e-01 3.600627055750752259e+00 7.475000000001164253e-05
9.239978392911147864e-01 3.596836364615225268e+00 1.650000000001293715e-05
9.274074254139601514e-01 3.593213703434765094e+00 0.000000000000000000e+00
9.308422677303082038e-01 3.589752868383722983e+00 0.000000000000000000e+00
9.343026479077444213e-01 3.586433304223603180e+00 0.000000000000000000e+00
9.377888518178478794e-01 3.583234937861783820e+00 0.000000000000000000e+00
9.413011696149183871e-01 3.580143438984881854e+00 0.000000000000000000e+00
9.448398958164783146e-01 3.577147529619376876e+00 0.000000000000000000e+00
9.484053293855971845e-01 3.574238000567676821e+00 0.000000000000000000e+00
9.519977738150879887e-01 3.571407168680388544e+00 0.000000000000000000e+00
9.556175372136243018e-01 3.568648525750121259e+00 0.000000000000000000e+00
9.592649323938291506e-01 3.565956492816030554e+00 0.000000000000000000e+00
9.629402769623879310e-01 3.563326240134237377e+00 0.000000000000000000e+00
9.666438934122432158e-01 3.560753551153299057e+00 0.000000000000000000e+00
9.703761092169235214e-01 3.558234717403031766e+00 0.000000000000000000e+00
9.741372569270667636e-01 3.555766455830246642e+00 0.000000000000000000e+00
9.779276742691954682e-01 3.553345842843533831e+00 0.000000000000000000e+00
9.817477042468094606e-01 3.550970261042620812e+00 0.000000000000000000e+00
9.855976952438556538e-01 3.548637355733978538e+00 0.000000000000000000e+00
9.894780011306426593e-01 3.546344999100818463e+00 0.000000000000000000e+00
9.933889813722658335e-01 3.544091260431607715e+00 0.000000000000000000e+00
9.973310011396159247e-01 3.541874381194506594e+00 0.000000000000000000e+00
1.001304431423040597e+00 3.539692754024358123e+00 0.000000000000000000e+00
1.005309649148732998e+00 3.537544904895509212e+00 0.000000000000000000e+00
1.009347037297924743e+00 3.535429477908881069e+00 0.000000000000000000e+00
1.013416985028964712e+00 3.533345222239419492e+00 0.000000000000000000e+00
1.017519887802361245e+00 3.531290980880619212e+00 0.000000000000000000e+00
1.021656147508875012e+00 3.529265680893032275e+00 0.000000000000000000e+00
1.025826172600748043e+00 3.527268324918491516e+00 0.000000000000000000e+00
1.030030378226160837e+00 3.525297983765215193e+00 0.000000000000000000e+00
1.034269186367009041e+00 3.523353789903462374e+00 0.000000000000000000e+00
1.038543025980096068e+00 3.521434931738920859e+00 0.000000000000000000e+00
1.042852333141839116e+00 3.519540648553387996e+00 0.000000000000000000e+00
1.047197551196596743e+00 3.517670226020271240e+00 0.000000000000000000e+00
1.051579130908716353e+00 3.515822992217263021e+00 0.000000000000000000e+00
1.055997530618416835e+00 3.513998314070540196e+00 0.000000000000000000e+00
1.060453216401617160e+00 3.512195594174898794e+00 0.000000000000000000e+00
1.064946662233827279e+00 3.510414267942453925e+00 0.000000000000000000e+00
1.069478350158226343e+00 3.508653801039386622e+00 0.000000000000000000e+00
1.074048770458047919e+00 3.506913687076073760e+00 0.000000000000000000e+00
1.078658421833404546e+00 3.505193445520643714e+00 0.000000000000000000e+00
1.083307811582686409e+00 3.503492619810169906e+00 0.000000000000000000e+00
1.087997455788671797e+00 3.501810775637093087e+00 0.000000000000000000e+00
1.092727879509492350e+00 3.500147499391482953e+00 0.000000000000000000e+00
1.097499616974599412e+00 3.498502396742083853e+00 0.000000000000000000e+00
1.102313211785891367e+00 3.496875091341446140e+00 0.000000000000000000e+00
1.107169217124155169e+00 3.495265223642042507e+00 0.000000000000000000e+00
1.112068195960987715e+00 3.493672449812027292e+00 0.000000000000000000e+00
1.117010721276370022e+00 3.492096440740553032e+00 0.000000000000000000e+00
1.121997376282068082e+00 3.490536881123746937e+00 0.000000000000000000e+00
1.127028754651045794e+00 3.488993468623524663e+00 0.000000000000000000e+00
1.132105460753077608e+00 3.487465913092256287e+00 0.000000000000000000e+00
1.137228109896756711e+00 3.485953935857045050e+00 0.000000000000000000e+00
1.142397328578105498e+00 3.484457269058172102e+00 0.000000000000000000e+00
1.147613754735996583e+00 3.482975655036704588e+00 0.000000000000000000e+00
1.152878038014601980e+00 3.481508845766908777e+00 0.000000000000000000e+00
1.158190840033102464e+00 3.480056602329521187e+00 0.000000000000000000e+00
1.163552834662885394e+00 3.478618694422266344e+00 0.000000000000000000e+00
1.168964708312480338e+00 3.477194899904535230e+00 0.000000000000000000e+00
1.174427160220482325e+00 3.475785004373268983e+00 0.000000000000000000e+00
